"","variable","date","Altitude","normality_pvalue"
"1","Intensity",2022-02-14,"15m","0.477348706582722"
"2","Hue",2022-02-14,"15m","0.251838179202715"
"3","Saturation",2022-02-14,"15m","0.615989244590079"
"4","Lightness",2022-02-14,"15m","0.393712217752419"
"5","a.",2022-02-14,"15m","0.0425340120946597"
"6","b.",2022-02-14,"15m","0.147487092760524"
"7","u.",2022-02-14,"15m","0.0949758918000529"
"8","v.",2022-02-14,"15m","0.298477438121159"
"9","GA",2022-02-14,"15m","0.0788976586201606"
"10","GGA",2022-02-14,"15m","1.83988906584594e-05"
"11","CSI",2022-02-14,"15m","0.357324284910594"
"12","NGRDI",2022-02-14,"15m","0.0718513903393469"
"13","NGRDIveg",2022-02-14,"15m","0.420167341934711"
"14","TGI",2022-02-14,"15m","0.336652533321139"
"15","TGIveg",2022-02-14,"15m","0.0914831113322106"
"16","Intensity",2022-02-14,"30m","0.092577325818326"
"17","Hue",2022-02-14,"30m","0.000486939203624494"
"18","Saturation",2022-02-14,"30m","0.271036846937777"
"19","Lightness",2022-02-14,"30m","0.0988901093683328"
"20","a.",2022-02-14,"30m","0.578637996684374"
"21","b.",2022-02-14,"30m","0.408742289727436"
"22","u.",2022-02-14,"30m","0.637986177182557"
"23","v.",2022-02-14,"30m","0.389713301378288"
"24","GA",2022-02-14,"30m","0.000323331047007697"
"25","GGA",2022-02-14,"30m","6.08695302707045e-08"
"26","CSI",2022-02-14,"30m","0.245746313840226"
"27","NGRDI",2022-02-14,"30m","0.0587172914862675"
"28","NGRDIveg",2022-02-14,"30m","0.168453894684434"
"29","TGI",2022-02-14,"30m","0.607929996307932"
"30","TGIveg",2022-02-14,"30m","0.885772930519306"
"31","Intensity",2022-01-19,"30m","0.151794508848185"
"32","Hue",2022-01-19,"30m","0.193327965845357"
"33","Saturation",2022-01-19,"30m","0.366039768521018"
"34","Lightness",2022-01-19,"30m","0.0982234456564028"
"35","a.",2022-01-19,"30m","0.037964868993933"
"36","b.",2022-01-19,"30m","0.804708005227289"
"37","u.",2022-01-19,"30m","0.113233259987105"
"38","v.",2022-01-19,"30m","0.0808175675484973"
"39","GA",2022-01-19,"30m","0.0532800349938225"
"40","GGA",2022-01-19,"30m","4.93979309578339e-11"
"41","CSI",2022-01-19,"30m","5.62860361366654e-09"
"42","NGRDI",2022-01-19,"30m","0.348942372925371"
"43","NGRDIveg",2022-01-19,"30m","2.64905967486794e-12"
"44","TGI",2022-01-19,"30m","0.133966203002062"
"45","TGIveg",2022-01-19,"30m","8.50318833332055e-05"
"46","Intensity",2022-01-19,"15m","0.558507166926249"
"47","Hue",2022-01-19,"15m","0.102988537396854"
"48","Saturation",2022-01-19,"15m","0.0718625298087092"
"49","Lightness",2022-01-19,"15m","0.240065353420252"
"50","a.",2022-01-19,"15m","0.174155185773378"
"51","b.",2022-01-19,"15m","0.0184716614315105"
"52","u.",2022-01-19,"15m","0.710091690936171"
"53","v.",2022-01-19,"15m","0.0359680884932864"
"54","GA",2022-01-19,"15m","0.0784744390225501"
"55","GGA",2022-01-19,"15m","0.022728867555559"
"56","CSI",2022-01-19,"15m","0.162940441403096"
"57","NGRDI",2022-01-19,"15m","0.594978494281679"
"58","NGRDIveg",2022-01-19,"15m","7.32574778896522e-06"
"59","TGI",2022-01-19,"15m","0.487122465232395"
"60","TGIveg",2022-01-19,"15m","0.747874319847716"
"61","Intensity",2022-02-03,"15m","0.990871067111619"
"62","Hue",2022-02-03,"15m","0.0551807355671848"
"63","Saturation",2022-02-03,"15m","0.593905928561355"
"64","Lightness",2022-02-03,"15m","0.995080105517338"
"65","a.",2022-02-03,"15m","0.812673612095796"
"66","b.",2022-02-03,"15m","0.179317990375242"
"67","u.",2022-02-03,"15m","0.528473391217989"
"68","v.",2022-02-03,"15m","0.176462288195231"
"69","GA",2022-02-03,"15m","1.74048541441332e-06"
"70","GGA",2022-02-03,"15m","2.30694814850789e-08"
"71","CSI",2022-02-03,"15m","0.188092089201701"
"72","NGRDI",2022-02-03,"15m","0.515523615003462"
"73","NGRDIveg",2022-02-03,"15m","0.0532500118448234"
"74","TGI",2022-02-03,"15m","0.880126348279864"
"75","TGIveg",2022-02-03,"15m","0.389852041602959"
"76","Intensity",2022-02-03,"30m","0.777186513271949"
"77","Hue",2022-02-03,"30m","0.335035913076764"
"78","Saturation",2022-02-03,"30m","0.44419855398885"
"79","Lightness",2022-02-03,"30m","0.831071463000543"
"80","a.",2022-02-03,"30m","0.769077710375349"
"81","b.",2022-02-03,"30m","0.132991947762507"
"82","u.",2022-02-03,"30m","0.32460862565404"
"83","v.",2022-02-03,"30m","0.399801232655168"
"84","GA",2022-02-03,"30m","8.09808510409357e-07"
"85","GGA",2022-02-03,"30m","8.8763935964141e-10"
"86","CSI",2022-02-03,"30m","3.93926712264204e-05"
"87","NGRDI",2022-02-03,"30m","0.450205982619323"
"88","NGRDIveg",2022-02-03,"30m","0.00042546484491909"
"89","TGI",2022-02-03,"30m","0.404994867375242"
"90","TGIveg",2022-02-03,"30m","0.74266572515222"
"91","Intensity",2022-03-09,"15m","0.779961413388693"
"92","Hue",2022-03-09,"15m","0.2379877744958"
"93","Saturation",2022-03-09,"15m","0.093622959344092"
"94","Lightness",2022-03-09,"15m","0.928497297083439"
"95","a.",2022-03-09,"15m","0.180878371374438"
"96","b.",2022-03-09,"15m","0.356834546417063"
"97","u.",2022-03-09,"15m","0.103335177584115"
"98","v.",2022-03-09,"15m","0.0766790227925559"
"99","GA",2022-03-09,"15m","0.801597325029711"
"100","GGA",2022-03-09,"15m","0.691566540107258"
"101","CSI",2022-03-09,"15m","0.963627982022807"
"102","NGRDI",2022-03-09,"15m","0.942250271024567"
"103","NGRDIveg",2022-03-09,"15m","0.842835720666378"
"104","TGI",2022-03-09,"15m","0.168790700159101"
"105","TGIveg",2022-03-09,"15m","0.483182776771056"
"106","Intensity",2022-03-09,"30m","0.00887971022535445"
"107","Hue",2022-03-09,"30m","0.796208876481413"
"108","Saturation",2022-03-09,"30m","0.0278820952148666"
"109","Lightness",2022-03-09,"30m","0.0281897472040715"
"110","a.",2022-03-09,"30m","0.561667757875265"
"111","b.",2022-03-09,"30m","0.179381280006484"
"112","u.",2022-03-09,"30m","0.804122866791089"
"113","v.",2022-03-09,"30m","0.750128920117253"
"114","GA",2022-03-09,"30m","0.0207465762309414"
"115","GGA",2022-03-09,"30m","0.185012800446446"
"116","CSI",2022-03-09,"30m","0.685641058687513"
"117","NGRDI",2022-03-09,"30m","0.240400790948602"
"118","NGRDIveg",2022-03-09,"30m","0.696663058252404"
"119","TGI",2022-03-09,"30m","0.233979117855716"
"120","TGIveg",2022-03-09,"30m","0.109539709613429"
"121","Intensity",2022-06-02,"50m","0.121065007331718"
"122","Hue",2022-06-02,"50m","0.0197757871850724"
"123","Saturation",2022-06-02,"50m","0.528039104618481"
"124","Lightness",2022-06-02,"50m","0.0268754844562845"
"125","a.",2022-06-02,"50m","0.120114019107907"
"126","b.",2022-06-02,"50m","0.0625095083636445"
"127","u.",2022-06-02,"50m","0.190555263780047"
"128","v.",2022-06-02,"50m","0.52061021219842"
"129","GA",2022-06-02,"50m","0.0217244689164939"
"130","GGA",2022-06-02,"50m","0.000431809955873928"
"131","CSI",2022-06-02,"50m","0.00199231171243509"
"132","NGRDI",2022-06-02,"50m","0.0329946127276729"
"133","NGRDIveg",2022-06-02,"50m","0.0277371409419322"
"134","TGI",2022-06-02,"50m","0.00114233029630828"
"135","TGIveg",2022-06-02,"50m","0.112727207890759"
"136","Intensity",2022-05-26,"15m","0.803272357227892"
"137","Hue",2022-05-26,"15m","0.778912495170958"
"138","Saturation",2022-05-26,"15m","0.316409413369272"
"139","Lightness",2022-05-26,"15m","0.501510043653988"
"140","a.",2022-05-26,"15m","0.0507244695924301"
"141","b.",2022-05-26,"15m","0.363822227713141"
"142","u.",2022-05-26,"15m","0.073471429778319"
"143","v.",2022-05-26,"15m","0.53820917263587"
"144","GA",2022-05-26,"15m","3.46177394206463e-07"
"145","GGA",2022-05-26,"15m","0.00937484991299439"
"146","CSI",2022-05-26,"15m","0.00103035832518658"
"147","NGRDI",2022-05-26,"15m","0.702950818276498"
"148","NGRDIveg",2022-05-26,"15m","0.64691538866438"
"149","TGI",2022-05-26,"15m","0.805637154511696"
"150","TGIveg",2022-05-26,"15m","0.887120392505395"
"151","Intensity",2022-05-26,"50m","0.17375760271478"
"152","Hue",2022-05-26,"50m","0.676498396259659"
"153","Saturation",2022-05-26,"50m","0.281146049615577"
"154","Lightness",2022-05-26,"50m","0.265747735207972"
"155","a.",2022-05-26,"50m","0.370634055860393"
"156","b.",2022-05-26,"50m","0.0679682524915812"
"157","u.",2022-05-26,"50m","0.134054245609846"
"158","v.",2022-05-26,"50m","0.207512136244101"
"159","GA",2022-05-26,"50m","7.09531688486906e-06"
"160","GGA",2022-05-26,"50m","4.38860012621969e-07"
"161","CSI",2022-05-26,"50m","3.97428205590331e-08"
"162","NGRDI",2022-05-26,"50m","0.15752222399872"
"163","NGRDIveg",2022-05-26,"50m","0.122491069551002"
"164","TGI",2022-05-26,"50m","0.466633920132211"
"165","TGIveg",2022-05-26,"50m","0.296864808349712"
"166","Intensity",2022-05-26,"30m","0.289143659997364"
"167","Hue",2022-05-26,"30m","0.97833762789757"
"168","Saturation",2022-05-26,"30m","0.828528569874317"
"169","Lightness",2022-05-26,"30m","0.308757621878184"
"170","a.",2022-05-26,"30m","0.231960995871618"
"171","b.",2022-05-26,"30m","0.421294847075922"
"172","u.",2022-05-26,"30m","0.156522716368079"
"173","v.",2022-05-26,"30m","0.797750079656606"
"174","GA",2022-05-26,"30m","2.81866890588383e-07"
"175","GGA",2022-05-26,"30m","0.00842082809220855"
"176","CSI",2022-05-26,"30m","0.00237188404728025"
"177","NGRDI",2022-05-26,"30m","0.561583435024161"
"178","NGRDIveg",2022-05-26,"30m","0.435663477494218"
"179","TGI",2022-05-26,"30m","0.117877551843708"
"180","TGIveg",2022-05-26,"30m","0.399991761756792"
"181","Intensity",2022-03-22,"50m","0.431348055549434"
"182","Hue",2022-03-22,"50m","0.689446849890003"
"183","Saturation",2022-03-22,"50m","0.270035279151452"
"184","Lightness",2022-03-22,"50m","0.843162151094997"
"185","a.",2022-03-22,"50m","0.673957507804716"
"186","b.",2022-03-22,"50m","6.77926562799579e-06"
"187","u.",2022-03-22,"50m","0.73199012743009"
"188","v.",2022-03-22,"50m","0.839097913887841"
"189","GA",2022-03-22,"50m","0.00823052406381739"
"190","GGA",2022-03-22,"50m","9.02271376077606e-08"
"191","CSI",2022-03-22,"50m","0.000411918728713617"
"192","NGRDI",2022-03-22,"50m","0.601065518536331"
"193","NGRDIveg",2022-03-22,"50m","0.0902766888045249"
"194","TGI",2022-03-22,"50m","0.155164333653397"
"195","TGIveg",2022-03-22,"50m","0.19971661592491"
"196","Intensity",2022-04-19,"50m","0.798880468440499"
"197","Hue",2022-04-19,"50m","0.337529484003739"
"198","Saturation",2022-04-19,"50m","0.546288740172217"
"199","Lightness",2022-04-19,"50m","0.96612877833963"
"200","a.",2022-04-19,"50m","0.752426341394689"
"201","b.",2022-04-19,"50m","5.42114938730545e-10"
"202","u.",2022-04-19,"50m","0.667244436699653"
"203","v.",2022-04-19,"50m","0.0197770329923701"
"204","GA",2022-04-19,"50m","1.07290773559233e-05"
"205","GGA",2022-04-19,"50m","6.72350339755109e-05"
"206","CSI",2022-04-19,"50m","2.10494767269597e-06"
"207","NGRDI",2022-04-19,"50m","0.564548328568354"
"208","NGRDIveg",2022-04-19,"50m","0.469494608156811"
"209","TGI",2022-04-19,"50m","0.595198221976268"
"210","TGIveg",2022-04-19,"50m","0.57124972720257"
"211","Intensity",2022-04-05,"50m","0.191968080795715"
"212","Hue",2022-04-05,"50m","0.967639504734838"
"213","Saturation",2022-04-05,"50m","0.0181375678482631"
"214","Lightness",2022-04-05,"50m","1.77163675829553e-05"
"215","a.",2022-04-05,"50m","4.76606713216699e-08"
"216","b.",2022-04-05,"50m","1.05969924423689e-06"
"217","u.",2022-04-05,"50m","0.0326916367401261"
"218","v.",2022-04-05,"50m","0.638578391119439"
"219","GA",2022-04-05,"50m","0.0101826693902665"
"220","GGA",2022-04-05,"50m","0.0246606761200042"
"221","CSI",2022-04-05,"50m","0.0338069707339649"
"222","NGRDI",2022-04-05,"50m","0.157799953365395"
"223","NGRDIveg",2022-04-05,"50m","0.150898129206584"
"224","TGI",2022-04-05,"50m","0.487815028552196"
"225","TGIveg",2022-04-05,"50m","0.340219240576817"
"226","Intensity",2022-05-03,"50m","0.0281747602745077"
"227","Hue",2022-05-03,"50m","0.481595462369195"
"228","Saturation",2022-05-03,"50m","0.343185868608065"
"229","Lightness",2022-05-03,"50m","0.0129656596331216"
"230","a.",2022-05-03,"50m","0.0966028880622549"
"231","b.",2022-05-03,"50m","0.156871208839035"
"232","u.",2022-05-03,"50m","0.0663838414056176"
"233","v.",2022-05-03,"50m","0.00883889705457367"
"234","GA",2022-05-03,"50m","0.00284086922815856"
"235","GGA",2022-05-03,"50m","0.00122057001771474"
"236","CSI",2022-05-03,"50m","8.45350444957901e-05"
"237","NGRDI",2022-05-03,"50m","0.428666913322216"
"238","NGRDIveg",2022-05-03,"50m","0.638069389700583"
"239","TGI",2022-05-03,"50m","0.00625806410887195"
"240","TGIveg",2022-05-03,"50m","0.00147612484139897"
